"Date","Time","Variable","Value"
2020-01-04,"16:15:00","Glucose",65
2020-01-04,"16:20:00","Glucose",66
2020-01-04,"16:25:00","Glucose",67
2020-01-04,"16:30:00","Glucose",68
2020-01-04,"16:35:00","Glucose",72
2020-01-04,"16:40:00","Glucose",76
2020-01-04,"16:45:00","Glucose",75
2020-01-04,"16:50:00","Glucose",80
2020-01-04,"16:55:00","Glucose",82
2020-01-04,"17:00:00","Glucose",82
2020-01-04,"17:05:00","Glucose",81
2020-01-04,"17:10:00","Glucose",78
2020-01-04,"17:15:00","Glucose",71
2020-01-04,"17:20:00","Glucose",68
2020-01-04,"17:25:00","Glucose",67
2020-01-04,"17:30:00","Glucose",69
2020-01-04,"17:35:00","Glucose",70
2020-01-04,"17:40:00","Glucose",69
2020-01-04,"17:45:00","Glucose",67
2020-01-04,"17:50:00","Glucose",77
2020-01-04,"17:55:00","Glucose",79
2020-01-04,"18:00:00","Glucose",79
2020-01-04,"18:05:00","Glucose",79
2020-01-04,"18:10:00","Glucose",79
2020-01-04,"18:15:00","Glucose",81
2020-01-04,"18:20:00","Glucose",83
2020-01-04,"18:25:00","Glucose",84
2020-01-04,"18:30:00","Glucose",85
2020-01-04,"18:35:00","Glucose",86
2020-01-04,"18:40:00","Glucose",82
2020-01-04,"18:45:00","Glucose",88
2020-01-04,"18:50:00","Glucose",89
2020-01-04,"18:55:00","Glucose",89
2020-01-04,"19:00:00","Glucose",89
2020-01-04,"19:05:00","Glucose",89
2020-01-04,"19:10:00","Glucose",89
2020-01-04,"19:15:00","Glucose",90
2020-01-04,"19:20:00","Glucose",90
2020-01-04,"19:25:00","Glucose",90
2020-01-04,"19:30:00","Glucose",87
2020-01-04,"19:35:00","Glucose",86
2020-01-04,"19:40:00","Glucose",87
2020-01-04,"19:45:00","Glucose",94
2020-01-04,"19:50:00","Glucose",96
2020-01-04,"19:55:00","Glucose",96
2020-01-04,"20:00:00","Glucose",97
2020-01-04,"20:05:00","Glucose",97
2020-01-04,"20:10:00","Glucose",97
2020-01-04,"20:15:00","Glucose",97
2020-01-04,"20:20:00","Glucose",97
